1888,253
897,65
906,77
916,146
921,105
925,166
927,74
934,81
946,165
947,114
952,83
953,108
960,102
966,114
967,106
978,103
980,127
982,67
983,61
993,153
997,95
999,76
1003,94
1004,119
1006,141
1017,148
1024,84
1026,79
1028,66
1048,105
1049,81
1059,164
1068,48
1074,62
1075,79
1076,141
1078,182
1079,122
1083,105
1086,204
1091,19
1101,122
1107,140
1112,53
1117,121
1123,70
1124,129
1125,116
1126,197
1128,97
1130,65
1132,141
1135,67
1146,146
1149,101
1153,138
1156,98
1160,87
1163,99
1172,112
1173,114
1175,131
1180,44
1181,88
1182,65
1184,157
1185,155
1191,109
1198,82
1199,216
1201,57
1205,101
1207,71
1209,75
1211,172
1214,113
1217,46
1219,53
1222,141
1230,124
1238,151
1242,92
1243,111
1250,136
1255,123
1256,134
1267,119
1269,125
1271,95
1272,83
1285,54
1287,65
1288,91
1289,84
1291,112
1293,47
1302,106
1305,103
1312,79
1323,76
1329,135
1330,121
1331,145
1334,99
1335,127
1336,54
1339,99
1340,62
1341,122
1344,90
1351,66
1352,233
1361,136
1367,165
1370,111
1375,73
1376,181
1377,189
1380,84
1388,83
1389,45
1390,192
1391,174
1398,43
1399,177
1401,11
1402,73
1416,110
1420,147
1431,219
1439,20
1447,141
1449,89
1456,131
1457,61
1463,9
1467,123
1470,70
1471,168
1480,92
1483,95
1484,21
1488,134
1491,124
1509,130
1516,158
1520,116
1522,155
1524,40
1530,104
1532,38
1538,71
1542,54
1547,121
1551,170
1554,159
1556,24
1557,150
1559,185
1570,123
1580,82
1584,210
1589,204
1590,87
1597,111
1598,135
1600,116
1603,144
1604,147
1605,89
1608,116
1609,91
1610,178
1612,189
1613,181
1614,70
1617,116
1619,113
1620,127
1621,188
1622,176
1623,99
1632,78
1637,98
1639,77
1643,99
1652,80
1653,73
1659,81
1662,145
1663,234
1665,126
1668,121
1669,136
1675,116
1683,122
1685,92
1689,123
1707,184
1712,104
1714,186
1717,138
1721,114
1723,48
1730,225
1734,48
1735,108
